noRepeatRounds,maxStreak,violationType,LaTeX,r2,mae,mse,rmse,max_res,ssr
5,3,DRRV, 0.735x^2 -0.870x -0.501,0.9999991773607106,0.38679050851319907,0.25047516167199996,0.5004749361076936,1.102539109152076,6.0114038801279985
5,3,MSV, 0.252x^2 -0.716x +0.832,0.9999717387396244,0.6788274769433621,0.9501605527910794,0.9747617928453491,2.8816765384615337,22.803853266985904
5,3,NRV, 5.042x -14.553,0.9999030090619537,0.5400803743961358,0.47268029740338297,0.6875174887982,2.2239833333333574,11.34432713768119
6,3,DRRV, 0.735x^2 -0.873x -0.415,0.9999989902671113,0.3934012364446449,0.30729221338804485,0.5543394387810098,1.5516873821832178,7.375013121313076
6,3,MSV, 0.250x^2 -0.631x +0.138,0.9999881651069437,0.4770806859988037,0.3978599854681664,0.6307614330855735,1.6586786302830205,9.548639651235995
6,3,NRV, 6.063x -20.928,0.9998794716685893,0.6788542270531477,0.849409341932366,0.9216340607488234,3.3255266666666508,20.385824206376782
1,4,DRRV, 0.736x^2 -0.921x +0.052,0.9999996957747277,0.23925970609101324,0.09260733897031857,0.30431453953158166,0.6866123076927124,2.2225761352876456
1,4,MSV, 0.124x^2 -0.335x -0.304,0.9999630982874277,0.4101470358264821,0.3032256411096865,0.5506592786012839,1.4118564198844865,7.277415386632476
1,4,NRV, 1.002x -0.606,0.9998643046815181,0.12628277777777772,0.026094321805555664,0.16153736968749882,0.36329666666667393,0.6262637233333359
2,4,DRRV, 0.736x^2 -0.928x +0.002,0.9999992441169082,0.37204663018144063,0.2302240501773579,0.47981668392976695,1.2691595013679944,5.525377204256589
2,4,MSV, 0.126x^2 -0.397x +0.182,0.9999635155905056,0.43398416248607813,0.30173231680950846,0.5493016628497573,1.1778293478260764,7.241575603428203
2,4,NRV, 2.010x -2.474,0.9999553394368242,0.14756963768115963,0.0346003275301932,0.18601163278191288,0.4334157971014392,0.8304078607246368
3,4,DRRV, 0.735x^2 -0.878x -0.270,0.9999995920432789,0.28115890138855115,0.12412915273841345,0.35231967407230247,0.8769498145325088,2.9790996657219226
3,4,MSV, 0.125x^2 -0.376x +0.008,0.9999656310327947,0.3943468207155152,0.2834487893985031,0.5323990884651316,1.3808021222257025,6.802770945564075
3,4,NRV, 3.017x -5.338,0.9999407274103604,0.24954961352657265,0.10342513803744019,0.321597789229715,0.9308566666666627,2.4822033128985646
4,4,DRRV, 0.736x^2 -0.933x +0.014,0.9999996095577505,0.2636578874024837,0.11890468366778945,0.3448255844159326,0.9069548494986748,2.8537124080269467
4,4,MSV, 0.126x^2 -0.407x +0.384,0.9999674793719551,0.35827991689470867,0.26818903649590037,0.5178697099617822,1.5649578291273656,6.436536875901608
